City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,76.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Porto Novo,BJ,84.02,6.4965,2.6036,Tour Eiffel Hotel Benin
6,Butaritari,KI,83.23,3.0707,172.7902,Isles Sunset Lodge
7,Kudahuvadhoo,MV,83.73,2.6708,72.8944,Niyama Private Islands Maldives
8,Manggar,ID,80.17,-2.8833,108.2667,Guest Hotel
9,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
11,Isangel,VU,78.91,-19.55,169.2667,Tanna Lodge
12,Hilo,US,83.8,19.7297,-155.09,Hilo Hawaiian Hotel
15,Itarema,BR,78.8,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
17,Bacolod,PH,79.59,10.6667,122.95,Planta Hotel & Residences
18,Placido De Castro,BR,78.48,-10.3353,-67.1856,Hotel Carioca
19,Lagunas,PE,83.48,-5.2269,-75.6753,Hospedaje Eco
21,Cam Ranh,VN,80.56,11.9214,109.1591,OYO 598 Peony Hotel
28,Atuona,PF,79.61,-9.8,-139.0333,Villa Enata
30,Rikitea,PF,75.11,-23.1203,-134.9692,Pension Maro'i
33,Carutapera,BR,77.5,-1.195,-46.02,Lidera
39,Cabanas,CU,79.27,22.9758,-82.9219,Villa Luis Montesino y Anabel
42,Lafia,NG,82.69,8.4833,8.5167,Low Cost Housing Estate
46,Honiara,SB,81.7,-9.4333,159.95,Heritage Park Hotel
50,Moose Factory,CA,77.0,51.2585,-80.6094,Moosonee Lilypad
53,Kokoda,PG,76.37,-8.8785,147.7407,Daito Guest House
60,Tautira,PF,82.42,-17.7333,-149.15,Pension Oaoa
61,Kapaa,US,85.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Trairi,BR,77.76,-3.2778,-39.2689,janelas do mar
78,Georgetown,MY,81.9,5.4112,100.3354,Cititel Penang
86,Yaan,NG,79.52,7.3833,8.5667,
89,Boa Vista,BR,78.78,2.8197,-60.6733,Aipana Plaza Hotel
91,Dingle,PH,78.84,10.9995,122.6711,SEGAYA PROPERTY
92,Teahupoo,PF,76.96,-17.8333,-149.2667,Vanira Lodge
95,San Patricio,US,87.66,28.017,-97.5169,"Motel 6 Sinton, TX"
97,Gat,IL,77.4,31.61,34.7642,OlusHome
101,Pampa,US,77.95,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
103,Sabang,ID,83.32,5.8933,95.3214,Hotel Citra
105,Hambantota,LK,80.94,6.1241,81.1185,Bungalow 63
