City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Nikolskoye,RU,75.79,clear sky,59.7035,30.7861,Tourist House - Sablino
14,Lardos,GR,77.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
18,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
21,Atuona,PF,79.41,scattered clouds,-9.8,-139.0333,Villa Enata
22,Ambon,ID,80.11,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
23,Akyab,MM,84.97,overcast clouds,20.15,92.9,Hotel Memory
24,Banda Aceh,ID,77.07,light rain,5.5577,95.3222,Sulthan Hotel International
26,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
35,Sorong,ID,77.97,overcast clouds,-0.8833,131.25,waigo splash hotel
38,Juba,SS,80.83,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
41,Matara,LK,78.6,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
42,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
52,Axim,GH,82.51,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
53,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
55,Butaritari,KI,82.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
56,Saint-Philippe,RE,76.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Labuhan,ID,80.42,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
59,Sao Filipe,CV,76.87,few clouds,14.8961,-24.4956,Hotel Xaguate
60,Limpapa,PH,76.33,overcast clouds,7.1197,121.9106,Woodland Resort
70,Nouadhibou,MR,82.38,sand,20.930999999999997,-17.0347,El Medina
72,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
78,Kavaratti,IN,82.69,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
79,Jaru,BR,82.69,overcast clouds,-10.4389,-62.4664,Hotel Paraná
81,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
89,Lata,PT,84.72,few clouds,40.1629,-8.3327,Casa Maquia
90,Piacabucu,BR,82.45,few clouds,-10.4056,-36.4344,Piaçabuçu News
91,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
92,Lorengau,PG,81.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Caimito,CO,84.31,overcast clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
96,Faanui,PF,80.42,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
100,Ouro Preto Do Oeste,BR,83.53,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
103,Topolobampo,MX,89.11,clear sky,25.6,-109.05,Hotel Marina Topolobampo
105,El Vigia,VE,86.02,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
109,Fethiye,TR,76.87,few clouds,36.6217,29.1164,Club & Hotel Letoonia
115,Ilhabela,BR,76.15,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
119,Prescott,US,84.34,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
