City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,2021-05-30 20:03:09,71.6872,128.8694,33.33,92,36,9.15
1,Vostok,RU,2021-05-30 20:03:10,46.4856,135.8833,42.28,90,100,2.73
2,Kodiak,US,2021-05-30 20:02:29,57.79,-152.4072,47.71,93,90,5.75
3,Kavaratti,IN,2021-05-30 20:03:10,10.5669,72.642,82.87,76,80,17.07
4,Atuona,PF,2021-05-30 20:02:44,-9.8,-139.0333,79.61,63,3,8.12
5,Qaanaaq,GL,2021-05-30 20:03:11,77.484,-69.3632,32.49,92,100,5.12
6,Kavieng,PG,2021-05-30 20:02:49,-2.5744,150.7967,80.76,81,100,9.53
7,Albany,US,2021-05-30 20:00:45,42.6001,-73.9662,49.08,92,100,6.33
8,Bredasdorp,ZA,2021-05-30 20:03:12,-34.5322,20.0403,52.05,81,64,2.64
9,Yemelyanovo,RU,2021-05-30 20:03:12,56.1681,92.6767,32.81,86,0,1.59
10,Belmonte,BR,2021-05-30 20:03:13,-15.8631,-38.8828,79.3,73,12,6.93
11,Cockburn Town,TC,2021-05-30 20:03:13,21.4612,-71.1419,80.64,78,19,18.03
12,Kahului,US,2021-05-30 20:00:45,20.8947,-156.47,83.97,69,56,5.01
13,Punta Arenas,CL,2021-05-30 20:02:53,-53.15,-70.9167,37.11,55,22,9.06
14,Mataura,NZ,2021-05-30 20:03:14,-46.1927,168.8643,49.48,99,100,2.89
15,Mahebourg,MU,2021-05-30 20:01:06,-20.4081,57.7,73.26,81,16,6.33
16,Bambous Virieux,MU,2021-05-30 20:03:14,-20.3428,57.7575,73.22,81,26,6.24
17,Labuhan,ID,2021-05-30 20:03:15,-6.8844,112.2051,78.1,86,98,5.66
18,Hithadhoo,MV,2021-05-30 20:03:15,-0.6,73.0833,83.37,72,14,17.13
19,Zlobin,HR,2021-05-30 20:03:16,45.2924,14.6541,54.7,39,0,8.43
20,Isangel,VU,2021-05-30 20:03:16,-19.55,169.2667,71.24,73,48,7.47
21,Dikson,RU,2021-05-30 20:02:46,73.5069,80.5464,29.98,96,100,5.39
22,San Patricio,US,2021-05-30 20:03:16,28.017,-97.5169,87.67,55,22,15.5
23,Mar Del Plata,AR,2021-05-30 20:00:00,-38.0023,-57.5575,55.99,43,0,10.36
24,Leh,IN,2021-05-30 20:03:17,34.1667,77.5833,50.92,50,100,3.18
25,Ushuaia,AR,2021-05-30 20:03:17,-54.8,-68.3,28.08,95,100,2.1
26,Lena,ES,2021-05-30 20:03:18,43.1,-5.7333,63.36,97,26,3.44
27,Yellowknife,CA,2021-05-30 20:00:12,62.456,-114.3525,48.33,63,90,4.61
28,Kaitangata,NZ,2021-05-30 20:03:18,-46.2817,169.8464,49.51,94,100,5.93
29,Noumea,NC,2021-05-30 20:00:08,-22.2763,166.4572,69.01,99,98,10.96
